0.715432 0.566297 0.270809 0.225584 0.844695 0.566488 0.862290 0.506138 0.835821 0.883823 ,1.000000 1.000000 
0.738964 0.988711 0.985112 0.469469 0.819871 0.711118 0.914862 0.426287 0.516319 0.733990 ,1.000000 1.000000 
0.809090 0.917984 0.617800 0.101198 0.127566 0.160341 0.565463 0.081445 0.495701 0.993074 ,0.000000 0.000000 
0.420832 0.525226 0.422895 0.521357 0.652559 0.328232 0.866685 0.413808 0.312136 0.496736 ,0.000000 0.000000 
0.223849 0.477800 0.082891 0.725482 0.377742 0.391824 0.240370 0.189870 0.550482 0.034485 ,0.000000 0.000000 
0.451179 0.663605 0.027918 0.829854 0.517779 0.783493 0.487949 0.719388 0.080812 0.874106 ,1.000000 1.000000 
0.176255 0.871603 0.428813 0.308648 0.077925 0.850096 0.318971 0.801438 0.737866 0.942883 ,1.000000 1.000000 
0.415345 0.065128 0.778562 0.119729 0.468939 0.902221 0.457810 0.336367 0.262919 0.836448 ,0.000000 0.000000 
0.941097 0.768253 0.041366 0.032225 0.940508 0.700685 0.388995 0.499173 0.289723 0.107347 ,0.000000 0.000000 
0.634110 0.684393 0.796731 0.268465 0.035674 0.077268 0.157628 0.446596 0.884799 0.705746 ,0.000000 0.000000 
0.313311 0.831752 0.110278 0.660680 0.892656 0.542552 0.853260 0.759908 0.923585 0.826355 ,1.000000 1.000000 
0.112787 0.751168 0.040324 0.468122 0.383863 0.596646 0.939595 0.126995 0.284468 0.952477 ,0.000000 0.000000 
0.412578 0.222935 0.129720 0.257472 0.613165 0.945648 0.118371 0.348708 0.590350 0.276312 ,0.000000 0.000000 
0.206087 0.118212 0.460710 0.880244 0.593724 0.700134 0.109564 0.146675 0.000396 0.657546 ,0.000000 0.000000 
0.294190 0.401573 0.381488 0.587491 0.036153 0.928549 0.421655 0.853690 0.168561 0.479401 ,0.000000 0.000000 
0.191465 0.202212 0.788445 0.785705 0.257406 0.800465 0.553365 0.699346 0.203976 0.728857 ,1.000000 1.000000 
0.933485 0.546154 0.766516 0.508557 0.607401 0.993161 0.746413 0.933347 0.848143 0.531012 ,1.000000 1.000000 
0.806879 0.960371 0.854089 0.599730 0.174198 0.938120 0.278836 0.211644 0.755409 0.480127 ,1.000000 1.000000 
0.251584 0.333864 0.160683 0.035937 0.842709 0.899491 0.380804 0.589853 0.810111 0.896245 ,1.000000 1.000000 
0.577737 0.831471 0.176927 0.133893 0.833299 0.742226 0.852170 0.589958 0.149774 0.639630 ,1.000000 1.000000 
0.571792 0.547003 0.772465 0.502208 0.857965 0.691037 0.980930 0.300231 0.743933 0.340735 ,1.000000 1.000000 
0.980343 0.781821 0.763593 0.763737 0.629935 0.887706 0.794616 0.794103 0.507355 0.836929 ,1.000000 1.000000 
0.777342 0.144568 0.626250 0.153961 0.877649 0.561837 0.770843 0.873529 0.035954 0.530632 ,1.000000 1.000000 
0.583838 0.935527 0.790921 0.901009 0.101727 0.906907 0.186744 0.064946 0.525435 0.539562 ,1.000000 1.000000 
