0.961183 0.440011 0.159741 0.895466 0.153868 0.421072 0.425534 0.856434 0.508956 0.640406 ,1.000000 1.000000 
0.615117 0.947699 0.249880 0.333081 0.786142 0.071956 0.020933 0.846868 0.852600 0.613090 ,1.000000 1.000000 
0.900350 0.656693 0.258356 0.782321 0.951235 0.819167 0.000557 0.266238 0.760325 0.301180 ,1.000000 1.000000 
0.212961 0.451975 0.376533 0.360768 0.527011 0.359136 0.719981 0.063363 0.016486 0.970579 ,0.000000 0.000000 
0.592661 0.937245 0.553362 0.918007 0.118670 0.813708 0.983521 0.406873 0.373235 0.538685 ,1.000000 1.000000 
0.865413 0.718018 0.776473 0.215290 0.480396 0.570938 0.891328 0.891059 0.007752 0.385131 ,1.000000 1.000000 
0.337206 0.101123 0.173019 0.671901 0.416454 0.652935 0.921451 0.021614 0.246747 0.233170 ,0.000000 0.000000 
0.945357 0.930231 0.864870 0.181200 0.065478 0.040660 0.927029 0.186565 0.662385 0.877300 ,1.000000 1.000000 
0.592116 0.682295 0.950801 0.565085 0.120531 0.685398 0.106517 0.992966 0.009442 0.208380 ,0.000000 0.000000 
0.875453 0.168538 0.903729 0.062830 0.286957 0.213155 0.060038 0.585039 0.424918 0.742795 ,0.000000 0.000000 
0.693356 0.724675 0.011027 0.705940 0.921506 0.542903 0.619208 0.602594 0.811345 0.690765 ,1.000000 1.000000 
0.162067 0.804463 0.771403 0.768448 0.703203 0.544367 0.277474 0.049074 0.279246 0.493537 ,0.000000 0.000000 
0.938654 0.537419 0.614981 0.929879 0.901397 0.055669 0.374731 0.139449 0.733035 0.308559 ,1.000000 1.000000 
0.708277 0.465092 0.762136 0.048314 0.069335 0.711144 0.168510 0.519544 0.188594 0.821050 ,0.000000 0.000000 
0.431771 0.443676 0.804486 0.440650 0.888208 0.968705 0.328652 0.990058 0.890361 0.648277 ,1.000000 1.000000 
0.074171 0.052951 0.611529 0.775804 0.035060 0.520041 0.129732 0.727399 0.985909 0.372200 ,0.000000 0.000000 
0.142051 0.358109 0.374238 0.775685 0.391877 0.166339 0.342271 0.927591 0.018864 0.462843 ,0.000000 0.000000 
0.464245 0.121857 0.198931 0.161166 0.118412 0.937264 0.823335 0.331925 0.018906 0.718374 ,0.000000 0.000000 
0.113645 0.979249 0.322815 0.098684 0.482105 0.658926 0.055286 0.349914 0.895606 0.081380 ,0.000000 0.000000 
0.568628 0.794473 0.363801 0.773712 0.073366 0.929527 0.037169 0.978358 0.024638 0.438306 ,0.000000 0.000000 
0.620507 0.444385 0.814760 0.173166 0.571235 0.149942 0.811258 0.230289 0.685606 0.473601 ,0.000000 0.000000 
0.921390 0.283369 0.943979 0.495280 0.143667 0.580434 0.595911 0.777944 0.428040 0.460569 ,1.000000 1.000000 
0.751316 0.054332 0.446015 0.385746 0.449609 0.421036 0.852224 0.440814 0.237463 0.702972 ,0.000000 0.000000 
0.002847 0.791116 0.078138 0.035893 0.376844 0.121625 0.449127 0.040888 0.582188 0.371471 ,0.000000 0.000000 
